latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-36.18521,149.4044,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,301.7,23.1,D
-36.17722,149.44862,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,302.8,19.6,D
-36.17738,149.43831,343.7,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,298.3,19.6,D
-36.1781,149.39143,337.5,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.3,7.8,D
-36.16992,149.44936,352.9,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,300,17.4,D
-36.16338,149.39853,335.4,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,301.8,7.7,D
-36.10175,150.09456,367,0.69,0.74,2020-01-24,0242,N,high,1.0NRT,291.4,35.2,D
-36.10191,150.08612,336.8,0.69,0.74,2020-01-24,0242,N,nominal,1.0NRT,288.6,13.9,D
-36.09484,150.08548,338.7,0.69,0.74,2020-01-24,0242,N,nominal,1.0NRT,287.9,13.9,D
-35.99559,149.35732,346.8,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,300.7,9.1,D
-35.98827,149.35806,344.4,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,301.8,9.1,D
-35.92815,149.52992,347.7,0.74,0.76,2020-01-24,0242,N,nominal,1.0NRT,295.7,16.1,D
-35.99646,149.35204,351.9,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,301.3,11.3,D
-35.98914,149.3521,338.1,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,302.6,11.3,D
-35.85963,149.76703,339.9,0.72,0.75,2020-01-24,0242,N,nominal,1.0NRT,291.3,10.9,D
-35.82317,149.81248,337.8,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,292,11.3,D
-35.82326,149.80644,349.1,0.72,0.75,2020-01-24,0242,N,nominal,1.0NRT,293.6,11.3,D
-35.86452,149.76022,345.4,0.72,0.75,2020-01-24,0242,N,nominal,1.0NRT,291.9,16.1,D
-35.82758,149.8187,330.9,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,291.3,11.2,D
-35.82054,149.8123,335.8,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,292.5,11.2,D
-35.82064,149.80652,348.7,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,294,20.9,D
-35.81326,149.81876,367,0.71,0.75,2020-01-24,0242,N,high,1.0NRT,294.1,25.3,D
-35.81348,149.80666,353.1,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,294.3,19.9,D
-35.77696,149.85132,330.1,0.71,0.75,2020-01-24,0242,N,nominal,1.0NRT,288.3,4,D
-34.68639,150.2771,367,0.67,0.73,2020-01-24,0242,N,high,1.0NRT,292.3,28.9,D
-34.6867,150.26254,341.8,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,291.1,24.2,D
-34.68685,150.25523,334.3,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,290.6,11.1,D
-34.68815,150.27626,367,0.66,0.73,2020-01-24,0242,N,high,1.0NRT,293.2,18.6,D
-34.68835,150.26915,330.3,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,289.9,18.6,D
-34.68854,150.26202,333.4,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,291,17.4,D
-34.68152,150.26393,367,0.67,0.73,2020-01-24,0242,N,high,1.0NRT,293.2,17.4,D
-34.68173,150.25601,367,0.67,0.73,2020-01-24,0242,N,high,1.0NRT,290.6,17.4,D
-34.68192,150.2484,332.1,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,289.5,12.8,D
-34.68234,150.23256,330.2,0.67,0.74,2020-01-24,0242,N,nominal,1.0NRT,285.4,4.5,D
-34.68254,150.22487,334.7,0.67,0.74,2020-01-24,0242,N,nominal,1.0NRT,290.5,4.5,D
-34.67356,150.3017,332.7,0.66,0.73,2020-01-24,0242,N,nominal,1.0NRT,290.8,8.9,D
-34.67495,150.2487,344.9,0.67,0.73,2020-01-24,0242,N,nominal,1.0NRT,290.8,11.9,D
-36.73215,149.4101,349.3,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,298,25.4,D
-37.73099,148.92009,340.9,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,270.2,4.2,D
-37.73206,148.91525,334.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,278.3,4.2,D
-37.76374,148.77194,331.6,0.42,0.45,2020-01-24,0424,N,nominal,1.0NRT,279.3,8.1,D
-37.72569,148.92374,330.8,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,270.3,6.2,D
-37.75961,148.77049,337.3,0.42,0.45,2020-01-24,0424,N,nominal,1.0NRT,276.5,7,D
-37.72152,148.92238,343.9,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,273.1,6.2,D
-37.72262,148.91742,341.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,275,8.1,D
-37.71418,148.93523,352.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,286.5,27.7,D
-37.71525,148.9304,354.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,293.1,27.7,D
-37.71737,148.92088,333.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,274.9,5.1,D
-37.7163,148.92567,367,0.43,0.46,2020-01-24,0424,N,low,1.0NRT,286.1,5.1,D
-37.71004,148.93365,345.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,287.7,27.7,D
-37.7111,148.92891,352.1,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,293.5,27.7,D
-37.71217,148.92412,330.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,282.7,5.1,D
-37.72386,148.92041,347.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,275.5,7.7,D
-37.71658,148.93341,349.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,286.9,12.6,D
-37.71762,148.92859,331.7,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,285,5.8,D
-37.71865,148.92383,343.7,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,278.9,5.8,D
-37.71971,148.91895,356,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,277.7,7.7,D
-37.71245,148.93179,345.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,301.6,38.2,D
-37.71349,148.92702,355.3,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,290.4,14.4,D
-37.71452,148.92224,339.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,280.2,14.4,D
-37.70625,148.93976,334.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,286.5,7.1,D
-37.70726,148.93509,339.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,286.1,38.2,D
-37.69783,148.95792,331.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,290.6,10.4,D
-37.70207,148.93835,335,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,292.7,3.1,D
-37.70722,148.91464,332.8,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,283.9,3.6,D
-37.69366,148.95645,367,0.43,0.46,2020-01-24,0424,N,high,1.0NRT,294.1,10.4,D
-37.70202,148.918,330.1,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,286.1,3.9,D
-37.70307,148.91315,333.1,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,289.2,3.6,D
-37.68952,148.95485,367,0.43,0.46,2020-01-24,0424,N,high,1.0NRT,296.6,21.3,D
-37.68847,148.95967,332.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,292.4,21.3,D
-37.69058,148.95,339.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,292.8,5.7,D
-37.6843,148.95822,367,0.43,0.46,2020-01-24,0424,N,high,1.0NRT,297.5,21.3,D
-37.67889,148.98299,330.3,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,289,2.5,D
-37.68537,148.95332,356.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,299.7,21.3,D
-37.67905,148.96172,332,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,291.8,24.3,D
-37.68013,148.95677,352.4,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,303.4,73.2,D
-37.6812,148.95187,344.9,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,295.9,73.2,D
-37.67487,148.9603,367,0.43,0.46,2020-01-24,0424,N,high,1.0NRT,298.3,24.3,D
-37.48718,149.80232,330.6,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,292.8,3.8,D
-37.67379,148.96523,336.7,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,290.6,24.3,D
-37.67179,148.95387,367,0.43,0.46,2020-01-24,0424,N,high,1.0NRT,296.7,13,D
-37.67287,148.94894,340.9,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,292.4,13,D
-37.66655,148.95729,344.3,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,294.4,21.6,D
-37.66764,148.95233,348.1,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,295.5,13,D
-37.66872,148.9474,348.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,293,13,D
-37.66241,148.9557,339.8,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,292.5,5.5,D
-37.67084,148.91728,343.5,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,289.8,4.7,D
-37.68466,148.83369,330.8,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,297.6,7.6,D
-37.68572,148.82887,342.9,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,299.6,7.6,D
-37.6552,148.94768,331.3,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,290.9,4,D
-37.68053,148.83221,342.6,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,296.5,13.7,D
-37.6816,148.82732,346.2,0.43,0.46,2020-01-24,0424,N,nominal,1.0NRT,295.9,13.7,D
-37.47235,149.68138,330.2,0.47,0.48,2020-01-24,0424,N,nominal,1.0NRT,291.6,3.3,D
-37.43879,149.80722,336.8,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,291.2,6,D
-37.40594,149.73526,343.6,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,293.5,5.8,D
-37.40159,149.73364,335.6,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,292,5.8,D
-37.61107,148.70564,333.2,0.42,0.45,2020-01-24,0424,N,nominal,1.0NRT,292.6,2.2,D
-37.60593,148.70889,330.8,0.42,0.45,2020-01-24,0424,N,nominal,1.0NRT,292.9,2.6,D
-37.35049,149.70964,333.3,0.48,0.48,2020-01-24,0424,N,nominal,1.0NRT,292.8,2.7,D
-37.43504,149.25633,335.7,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292,5.9,D
-37.43631,149.25073,346.9,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,293.3,5.9,D
-37.42595,149.27623,330.6,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292,22.6,D
-37.42835,149.26559,352.7,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,297.1,20.8,D
-37.43194,149.24979,339.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.4,10,D
-37.43946,149.21643,339.7,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.6,2.1,D
-37.41273,149.31427,342.8,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.9,8,D
-37.41838,149.28938,337,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.6,6.4,D
-37.41945,149.28461,346.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,300.8,27.6,D
-37.42056,149.27972,341.6,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,293,27.6,D
-37.42175,149.27446,347.1,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,295,22.6,D
-37.42295,149.26917,355.7,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,300.9,22.6,D
-37.42412,149.26404,354.2,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,296.6,20.8,D
-37.42532,149.25871,347.9,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,295,20.8,D
-37.4276,149.24864,342.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,295.1,10,D
-37.42868,149.2439,350,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,294.2,13.7,D
-37.41197,149.29735,334.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.2,9.5,D
-37.41308,149.29245,349.3,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,295.3,11.6,D
-37.41417,149.28764,343.6,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.4,11.6,D
-37.41525,149.2829,347.9,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.4,23.9,D
-37.41758,149.27263,340.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,289.7,10.7,D
-37.4211,149.2571,340.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.3,8.4,D
-37.42229,149.25185,355.2,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,297.8,29.9,D
-37.42453,149.24193,331.4,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.5,2.8,D
-37.39098,149.36929,349.5,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.7,8.9,D
-37.40779,149.2955,346.9,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.2,9.5,D
-37.42792,149.26744,343.2,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,297.4,27.9,D
-37.43252,149.24649,336.3,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,293.2,10.7,D
-37.43879,149.21794,338.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.3,3.3,D
-37.42023,149.28154,367,0.45,0.47,2020-01-24,0424,N,high,1.0NRT,300.8,19.1,D
-37.42254,149.27103,367,0.45,0.47,2020-01-24,0424,N,high,1.0NRT,300.1,19.4,D
-37.42815,149.24551,367,0.45,0.47,2020-01-24,0424,N,high,1.0NRT,297.4,10.7,D
-37.41255,149.31636,344,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.5,11.1,D
-37.41916,149.28638,334.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.2,19.1,D
-37.42136,149.27643,336.3,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.3,19.4,D
-37.42368,149.26584,356.2,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,300.4,27.9,D
-37.42483,149.26064,343.7,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.6,27.9,D
-37.42601,149.25525,342.9,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,294.6,15.8,D
-37.42178,149.25363,367,0.45,0.47,2020-01-24,0424,N,high,1.0NRT,295.7,18.3,D
-37.41283,149.29425,353.5,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,295.2,11.2,D
-37.4139,149.2894,353.6,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.4,11.2,D
-37.41496,149.28464,341.1,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.6,18.9,D
-37.41602,149.27982,330.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.1,18.9,D
-37.41835,149.26923,348.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,289.8,15.1,D
-37.4229,149.24854,337.8,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,292.7,18.3,D
-37.42401,149.24355,339.2,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.5,4.3,D
-37.39117,149.3714,339.6,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.7,7.4,D
-37.39229,149.36639,334.8,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.7,5.4,D
-37.40755,149.29736,331.9,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,289.2,9.8,D
-37.40863,149.29243,343.3,0.45,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.7,11.2,D
-37.37448,149.34267,338.2,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.4,8.8,D
-37.37557,149.3378,331.8,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.9,7.8,D
-37.37795,149.32707,336.1,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.8,4.7,D
-37.36919,149.3457,354.4,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,293.3,8.8,D
-37.37025,149.34096,340.3,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.9,8.8,D
-37.37489,149.32013,333.3,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,290.9,4.7,D
-37.37424,149.3024,350.3,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,295.8,29.5,D
-37.37548,149.2968,339.1,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,293.1,29.5,D
-37.36989,149.30125,367,0.46,0.47,2020-01-24,0424,N,high,1.0NRT,299.1,29.5,D
-37.36176,149.33768,345.4,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.7,8.8,D
-37.37111,149.29585,354,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,296.5,29.5,D
-37.33833,149.42159,331.4,0.46,0.47,2020-01-24,0424,N,nominal,1.0NRT,291.6,6.4,D
